# Scaffold statistics
total_scaffold_assignments	700591
unique_scaffolds	103051

# Top 50 scaffolds (scaffold_smiles	count	fraction)
C1=CC1	26416	0.037705
c1ccccc1	25420	0.036284
c1ccncc1	21333	0.030450
C1CCNC1	20937	0.029885
C1CNC1	18763	0.026782
C1COC1	16912	0.024140
C1CNNC1	11355	0.016208
C1NCNN1	10983	0.015677
C1=CC=C1	9860	0.014074
C1CCNNC1	9423	0.013450
C1CNCCN1	9369	0.013373
C1CNCN1	8546	0.012198
C1CC1	8507	0.012143
C1NCNNN1	5502	0.007853
C1CCSC1	5421	0.007738
C1CSCN1	4298	0.006135
C1CNNN1	4193	0.005985
C1=CCNC1	3507	0.005006
c1cncnc1	3321	0.004740
c1c[nH]cn1	2835	0.004047
c1cc[nH]c1	2756	0.003934
C1CNNCN1	2529	0.003610
C1=CNC1	2524	0.003603
C1=NCCN1	2170	0.003097
C1CNN1	2151	0.003070
C1=CN=C1	2075	0.002962
c1cn[nH]c1	1861	0.002656
C1NNCS1	1702	0.002429
c1ccsc1	1647	0.002351
C1=[SH]NC1	1615	0.002305
c1ccc(-c2cccnc2)nc1	1561	0.002228
C1=CCC=C1	1525	0.002177
c1ccc(-c2ccccc2)cc1	1459	0.002083
C1=CNNN1	1430	0.002041
c1ccc(-c2ccccn2)cc1	1342	0.001916
C1=CNCC1	1328	0.001896
c1ccc(-c2ccncc2)cc1	1304	0.001861
c1cnncn1	1182	0.001687
C1=CC(c2ccccc2)=C1	1162	0.001659
c1ccc2ccccc2c1	1121	0.001600
c1cnccn1	1058	0.001510
c1ccoc1	1001	0.001429
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1	972	0.001387
c1ccc(-c2ccccn2)nc1	915	0.001306
C1=CNC=CC1	902	0.001287
c1cc(-c2cn[nH]c2)ccc1-c1cn[nH]c1	888	0.001268
C1=CNNC1	885	0.001263
C1=CCNCC1	885	0.001263
c1ccc2cc3ccccc3cc2c1	862	0.001230
c1ccc2c(c1)CC2	836	0.001193
