TAID,Name,IUPAC Name,PubChem CID,Canonical SMILES,InChIKey,Toxicity Value
TOX-245,thiotepa,tris(aziridin-1-yl)-sulfanylidene-lambda5-phosphane,5453,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,14.49969347
TOX-1279,metformin,"3-(diaminomethylidene)-1,1-dimethylguanidine",4091,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,179.9902451
TOX-1281,,3-phenylprop-2-enoic acid,8784,O=C(O)C=Cc1ccccc1,WBYWAXJHAXSJNI-UHFFFAOYSA-N,379.9974352
TOX-1282,CARVACROL,2-methyl-5-propan-2-ylphenol,10364,Cc1ccc(C(C)C)cc1O,RECUKUPTGUEGMW-UHFFFAOYSA-N,79.9994674
TOX-1288,Allicin,3-prop-2-enylsulfinylsulfanylprop-1-ene,65036,C=CCSS(=O)CC=C,JDLKFOPOAOFWQN-UHFFFAOYSA-N,60.00776447
TOX-1289,PAEONOL,1-(2-hydroxy-4-methoxyphenyl)ethanone,11092,COc1ccc(C(C)=O)c(O)c1,UILPJVPSNHJFIK-UHFFFAOYSA-N,195.992923
TOX-1292,Glucoxy,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",219402,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,4585.895845
TOX-1297,scopoletin,7-hydroxy-6-methoxychromen-2-one,5280460,COc1cc2ccc(=O)oc2cc1O,RODXRVNMMDRFIK-UHFFFAOYSA-N,349.9999998
TOX-1298,(E/Z)-ferulic acid,3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,709,COc1cc(C=CC(=O)O)ccc1O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,856.9735202
TOX-1307,,"1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",10583,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,OPFTUNCRGUEPRZ-UHFFFAOYSA-N,269.9907517
TOX-1310,Isofraxidin,"7-hydroxy-6,8-dimethoxychromen-2-one",5318565,COc1cc2ccc(=O)oc2c(OC)c1O,HOEVRHHMDJKUMZ-UHFFFAOYSA-N,499.9864985
TOX-1311,Melatonin,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,179.9976754
TOX-1337,,5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,3473,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,NLDDIKRKFXEWBK-UHFFFAOYSA-N,25.5007796
TOX-1342,,"3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",5538,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,SHGAZHPCJJPHSC-UHFFFAOYSA-N,91.98713895
TOX-1345,racanisodamine,(6-hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate,2198,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,WTQYWNWRJNXDEG-UHFFFAOYSA-N,123.0104725
TOX-1346,,N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,2548,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,YKPUWZUDDOIDPM-UHFFFAOYSA-N,0.399976425
